Название переменной;Описание;Формат данных
Комната;Комната, для которой закупается мебель;Текстовый
Серия;"Название серии товара в электронном каталоге IKEA Россия на шведском и русском языке, через ""/"" названия сборных товаров";Текстовый
Тип товара;Тип мебели;Текстовый
Цена ;"Стоимость одной единицы товара в рублях, разряды отделены запятой ("","")";Денежный
Количество;Количество товара в штуках;Числовой
Цвет;Цвет мебели;Текстовый
Ссылка;Ссылка на товар в каталоге магазина IKEA;Общий
